S.No,Name of the Station,Month,Highest Maximum Temperature (in Celsius),Mean Maximum Temperature (in Celsius),Lowest Minimum Temperature (in Celsius),Mean Minimum Temperature (in Celsius),Percentage of Humidity at 08.30 Hours,Percentage of Humidity at 17.30 Hours
1,Nungambakkam (Chennai North),June'2018,39.8,37.4,25.2,28.1,62,60
2,Nungambakkam (Chennai North),July'2018,38.1,35.7,22.4,27.3,64,56
3,Nungambakkam (Chennai North),August'2018,37.8,35,23.2,25.7,71,67
4,Nungambakkam (Chennai North),September'2018,37.3,34.2,22.4,26.3,78,73
5,Nungambakkam (Chennai North),October'2018,36.4,32.8,23.8,26.3,81,76
6,Nungambakkam (Chennai North),November'2018,32.7,30.7,22.6,24.5,82,74
7,Nungambakkam (Chennai North),December'2018,31.3,30,20,23,83,73
8,Nungambakkam (Chennai North),January'2019,30.8,29.4,19.7,21.2,82,66
9,Nungambakkam (Chennai North),February'2019,34,31.6,21,23.9,79,68
10,Nungambakkam (Chennai North),March'2019,35.6,33.6,23.6,25.8,77,67
11,Nungambakkam (Chennai North),April'2019,36.8,35.2,26.4,27.9,78,74
12,Nungambakkam (Chennai North),May'2019,41.5,37.4,28.4,29.4,75,80
13,Meenambakkam (PBO Chennai),June'2018,40.1,38,25.3,27.9,62,59
14,Meenambakkam (PBO Chennai),July'2018,38.7,36.3,23,27.2,64,54
15,Meenambakkam (PBO Chennai),August'2018,39.5,35.5,23.3,25.5,71,65
16,Meenambakkam (PBO Chennai),September'2018,37.9,34.6,21,25.4,75,68
17,Meenambakkam (PBO Chennai),October'2018,36.5,32.6,22.1,26.4,80,71
18,Meenambakkam (PBO Chennai),November'2018,33,30.7,21.4,23.5,81,71
19,Meenambakkam (PBO Chennai),December'2018,31,30,20.7,22.6,83,70
20,Meenambakkam (PBO Chennai),January'2019,30.9,29.6,17.8,20.3,82,63
21,Meenambakkam (PBO Chennai),February'2019,35,32,20,23,82,67
22,Meenambakkam (PBO Chennai),March'2019,38.5,34.9,22.9,24.6,79,63
23,Meenambakkam (PBO Chennai),April'2019,39.2,36.7,25.2,26.6,73,61
24,Meenambakkam (PBO Chennai),May'2019,42.2,39.2,26.9,28.2,64,61
25,Salem,June'2018,36.8,34.3,22.5,24.7,78,59
26,Salem,July'2018,35.5,33.6,21.8,24.2,79,55
27,Salem,August'2018,36.3,34.3,22.5,24.1,76,54
28,Salem,September'2018,37.6,34.6,22.8,24.1,76,50
29,Salem,October'2018,35,32.8,20.2,22.8,78,58
30,Salem,November'2018,34.8,31.6,19,22.1,78,58
31,Salem,December'2018,33.7,31.9,18.8,21,75,49
32,Salem,January'2019,34,32.6,16.1,18.8,73,36
33,Salem,February'2019,39,35.7,18.6,21.7,73,32
34,Salem,March'2019,40.8,38.6,21,23.9,69,27
35,Salem,April'2019,41.1,39.3,22.8,26.4,71,38
36,Salem,May'2019,40.8,39.2,23.5,27,70,46
37,Kovilankulam (Aruppukottai),June'2018,NA,NA,NA,NA,NA,NA
38,Kovilankulam (Aruppukottai),July'2018,40,36.9,23,25.4,74,61
39,Kovilankulam (Aruppukottai),August'2018,39,36.6,24,25.2,71,59
40,Kovilankulam (Aruppukottai),September'2018,38,36.6,21.5,24.2,76,55
41,Kovilankulam (Aruppukottai),October'2018,39.5,35.7,22.5,24.1,82,62
42,Kovilankulam (Aruppukottai),November'2018,35.5,33.1,19,22.8,81,68
43,Kovilankulam (Aruppukottai),December'2018,35,31.8,19,21.5,82,70
44,Kovilankulam (Aruppukottai),January'2019,NA,NA,NA,NA,NA,NA
45,Kovilankulam (Aruppukottai),February'2019,NA,NA,NA,NA,NA,NA
46,Kovilankulam (Aruppukottai),March'2019,NA,NA,NA,NA,NA,NA
47,Kovilankulam (Aruppukottai),April'2019,NA,NA,NA,NA,NA,NA
48,Kovilankulam (Aruppukottai),May'2019,NA,NA,NA,NA,NA,NA
49,AMS Tiruchirappalli,June'2018,39.4,37.7,24.4,27.3,60,44
50,AMS Tiruchirappalli,July'2018,39.4,35.9,23.4,26.7,62,46
51,AMS Tiruchirappalli,August'2018,39.1,36.7,24.4,26.5,60,44
52,AMS Tiruchirappalli,September'2018,39.3,36.8,23,25.6,66,43
53,AMS Tiruchirappalli,October'2018,35.9,33,22.6,24.6,77,65
54,AMS Tiruchirappalli,November'2018,35.1,30.8,20.4,23.5,82,69
55,AMS Tiruchirappalli,December'2018,32.3,30.8,20,22.4,82,63
56,AMS Tiruchirappalli,January'2019,33.8,31.3,17.6,20.3,76,49
57,AMS Tiruchirappalli,February'2019,37.9,34.6,20.4,23.3,76,43
58,AMS Tiruchirappalli,March'2019,40,37.6,21.4,24.5,70,31
